analysis_text_policy_note,analysis_text_policy_passed,analysis_text_source,article_url,code_label,code_note,data_label,data_named_public_benchmark,data_note,data_public_benchmark_name,data_public_benchmark_note,data_public_external_dataset,data_public_external_dataset_note,data_public_external_dataset_type,doi,note,paper_id,phm_relevant,relevance_confidence,relevance_label,relevance_note,relevance_review_required,repro_audit_eligible,repro_score,retrieval_status,review_required,source,text_provider,title,track,year
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3185,A5,,A5,True,,C-MAPSS,"Thus, for this dataset, a relatively suitable HI can be generated using PCA, and the findings argue that there is no need to develop complicated models for CMAPSS such as deep neural networks (which is what was and is happening nowadays, resulting in tremen dous publications).",True,"Thus, for this dataset, a relatively suitable HI can be generated using PCA, and the findings argue that there is no need to develop complicated models for CMAPSS such as deep neural networks (which is what was and is happening nowadays, resulting in tremen dous publications).",named_benchmark,10.36001/phmconf.2022.v14i1.3185,,phm-2022-3185,,,,,False,True,0,full_text,False,phm,pypdf,Interpretable Neural Network with Limited Weights for Constructing Simple and Explainable HI using SHM Data,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3251,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3251,,phm-2022-3251,,,,,False,True,0,full_text,False,phm,pypdf,Variable Perturbation Based Fault Diagnosis for Industrial Process,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3145,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3145,,phm-2022-3145,,,,,False,True,0,full_text,False,phm,pypdf,A New Data Processing Method for Acoustic Emission Signals for Metalworking Fluid Classification,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3216,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3216,,phm-2022-3216,,,,,False,True,0,full_text,False,phm,pypdf,Unsupervised Data-Driven Approach for Fault Diagnostic of Spacecraft Gyroscope,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3178,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3178,,phm-2022-3178,,,,,False,True,0,full_text,False,phm,pypdf,ML Detection and Isolation of Functional Failures using Syndrome Diagnostics,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3245,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3245,,phm-2022-3245,,,,,False,True,0,full_text,False,phm,pypdf,Investigation of the Vibration Induced Harness Failure,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3214,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3214,,phm-2022-3214,,,,,False,True,0,full_text,False,phm,pypdf,Data Analytics and Visualization Application for Asset Health Monitoring,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3382,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3382,,phm-2022-3382,,,,,False,True,0,full_text,False,phm,pypdf,A Statistical Classification Approach to Valve Condition Monitoring Using Pressure Features,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3176,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3176,,phm-2022-3176,,,,,False,True,0,full_text,False,phm,pypdf,Development of an End State Vision to Implement Digital Monitoring in Nuclear Plants,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3241,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3241,,phm-2022-3241,,,,,False,True,0,full_text,False,phm,pypdf,Generating Semantic Matches Between Maintenance Work Orders for Diagnostic Decision Support,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3207,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3207,,phm-2022-3207,,,,,False,True,0,full_text,False,phm,pypdf,Feasibility of Low-cost Vibration Monitoring for Ground Vehicles,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3304,A1,A pre-release version of the framework is available at https://github.com/darrahts/data,A5,True,,C-MAPSS,The Commercial Modular Aero-Propulsion System Simulation (CMAPSS) dataset has been available for quite some time but lacked real-world flight characteristics and multisource degradation.,True,The Commercial Modular Aero-Propulsion System Simulation (CMAPSS) dataset has been available for quite some time but lacked real-world flight characteristics and multisource degradation.,named_benchmark,10.36001/phmconf.2022.v14i1.3304,A pre-release version of the framework is available at https://github.com/darrahts/data,phm-2022-3304,,,,,False,True,4,full_text,False,phm,pypdf,Developing Deep Learning Models for System Remaining Useful Life Predictions: Application to Aircraft Engines,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3239,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3239,,phm-2022-3239,,,,,False,True,0,full_text,False,phm,pypdf,SafeMAP: Safe Multi-Agent Planning framework based on Dynamic Probabilistic Risk Assessment,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3287,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3287,,phm-2022-3287,,,,,False,True,0,full_text,False,phm,pypdf,A Control Approach to Fault Disambiguation,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3171,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3171,,phm-2022-3171,,,,,False,True,0,full_text,False,phm,pypdf,Wheel Bearing Fault Detection for Automobiles using Wheel Speed Sensor,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3236,A2,"sists of both engines and both motors operating the whole time. Possible engine configurations will be referred to E1, E2 or E12 indicating which engines are 2 https://github.com/JuliaPOMDP/POMDPs.jl operating (respectively engine 1, engine",A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3236,"sists of both engines and both motors operating the whole time. Possible engine configurations will be referred to E1, E2 or E12 indicating which engines are 2 https://github.com/JuliaPOMDP/POMDPs.jl operating (respectively engine 1, engine",phm-2022-3236,,,,,False,True,3,full_text,False,phm,pypdf,Predictive System Reconfiguration for Fulfillment of Future Mission Requirements,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3198,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3198,,phm-2022-3198,,,,,False,True,0,full_text,False,phm,pypdf,Multi-Kernel based Adaptive Support Vector Machine for Scalable Predictive Maintenance,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3274,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3274,,phm-2022-3274,,,,,False,True,0,full_text,False,phm,pypdf,A Methodology for Online Sensor Recalibration,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3162,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3162,,phm-2022-3162,,,,,False,True,0,full_text,False,phm,pypdf,Integrated Vehicle Health Monitoring on a Truck,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3232,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3232,,phm-2022-3232,,,,,False,True,0,full_text,False,phm,pypdf,Evaluation of NVIDIA Jetson System for Vibration HUMS,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3195,A5,,A3,False,"The ontology taxonomy is visually provided in the Appendix, and the full ontology including relationships is available upon request to the authors.",,,False,,,10.36001/phmconf.2022.v14i1.3195,"The ontology taxonomy is visually provided in the Appendix, and the full ontology including relationships is available upon request to the authors.",phm-2022-3195,,,,,False,True,2,full_text,False,phm,pypdf,An Ontology for Prognostic Health Management in Spacecraft Avionics,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3270,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3270,,phm-2022-3270,,,,,False,True,0,full_text,False,phm,pypdf,Application of Convolutional and Feedforward Neural Networks for Fault Detection in Particle Accelerator Power Systems,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3159,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3159,,phm-2022-3159,,,,,False,True,0,full_text,False,phm,pypdf,Mixed Initiative Approach for Reliable Tagging of Maintenance Records with Machine Learning,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3257,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3257,,phm-2022-3257,,,,,False,True,0,full_text,False,phm,pypdf,A Transfer Learning-Based Rolling Bearing Fault Diagnosis Across Machines,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3154,A5,,A3,False,It is noted that these data will be made available for others for research purposes upon requests from the authors 1.,,,False,,,10.36001/phmconf.2022.v14i1.3154,It is noted that these data will be made available for others for research purposes upon requests from the authors 1.,phm-2022-3154,,,,,False,True,2,full_text,False,phm,pypdf,A Data-Driven Snapshot Method for State of Health Modelling and Diagnostics of Maritime Battery Systems,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3223,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3223,,phm-2022-3223,,,,,False,True,0,full_text,False,phm,pypdf,A Causal Approach to Integrate Component Health Data into System Reliability Models,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3187,A5,,A4,False,"Experiments on Wind Turbine Failure Dataset (WF) To conduct a systematic comparison between our PSTC and the baselines on partially supervised setting, we perform experiments on a confidentially labeled data set collected from wind turbines.",,,False,,,10.36001/phmconf.2022.v14i1.3187,"Experiments on Wind Turbine Failure Dataset (WF) To conduct a systematic comparison between our PSTC and the baselines on partially supervised setting, we perform experiments on a confidentially labeled data set collected from wind turbines.",phm-2022-3187,,,,,False,True,1,full_text,False,phm,pypdf,Partially Supervised Classification for Industrial System using Deep Neural Network,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3218,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3218,,phm-2022-3218,,,,,False,True,0,full_text,False,phm,pypdf,Equipment Vibration Condition Monitoring Technology Based on Spectrum Image Deep Learning Models,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3180,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3180,,phm-2022-3180,,,,,False,True,0,full_text,False,phm,pypdf,Fault Injection Method and Ground-truth Development to Enable a Low-cost Bearing Fault Monitoring System in the Automotive Industry,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3249,A2,"ny combination between events and SSC health information linked by a causal relationship. 1 In this work, we are employing three main Python libraries: STANZA (https://stanfordnlp.github.io/stanza/), NLTK (www.nltk.org), and SPACY (https://",A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3249,"ny combination between events and SSC health information linked by a causal relationship. 1 In this work, we are employing three main Python libraries: STANZA (https://stanfordnlp.github.io/stanza/), NLTK (www.nltk.org), and SPACY (https://",phm-2022-3249,,,,,False,True,3,full_text,False,phm,pypdf,A Model Based Approach to Extract Health Information from Textual Data,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3142,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3142,,phm-2022-3142,,,,,False,True,0,full_text,False,phm,pypdf,A Framework to Rank Prognostics Health Indicators with Application to Brake Rotors,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3177,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3177,,phm-2022-3177,,,,,False,True,0,full_text,False,phm,pypdf,A Novel Technique for Data Quality Improvement in Human Health PHM,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3242,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3242,,phm-2022-3242,,,,,False,True,0,full_text,False,phm,pypdf,TireEye: Optical On-board Tire Wear Detection,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3378,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3378,,phm-2022-3378,,,,,False,True,0,full_text,False,phm,pypdf,A Fault Detection Technique based on Deep Transfer Learning from Experimental Linear Actuator to Real-World Railway Door Systems,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3175,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3175,,phm-2022-3175,,,,,False,True,0,full_text,False,phm,pypdf,A Gentle Correctness Verification of the Theory of Uncertain Event Prognosis to Compute Failure Time Probability,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3240,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3240,,phm-2022-3240,,,,,False,True,0,full_text,False,phm,pypdf,An Assessment of Different Reinforcement Learning Methods for Creating a Decision Support System Based on the Petri Net Model,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3204,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3204,,phm-2022-3204,,,,,False,True,0,full_text,False,phm,pypdf,Learning Data-Driven Model of Damped Coupled Oscillators from System Impulse Response,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3289,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3289,,phm-2022-3289,,,,,False,True,0,full_text,False,phm,pypdf,Evaluation of Different PHM Strategies on the Performances of a Prognostic Framework for Electro-Hydraulic Actuators for Stability Control Augmentation Systems,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3173,A5,,A5,True,,IMS,"D ATASETS As mentioned earlier two datasets will be used in this study: 1) the publicly available IMS dataset, 2) a novel and unique run-to-failure bearing dataset.",True,"D ATASETS As mentioned earlier two datasets will be used in this study: 1) the publicly available IMS dataset, 2) a novel and unique run-to-failure bearing dataset.",named_benchmark,10.36001/phmconf.2022.v14i1.3173,,phm-2022-3173,,,,,False,True,0,full_text,False,phm,pypdf,Accelerometer-Based Bearing Condition Indicator Estimation Using Semi-Supervised Adaptive DSVDD,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3238,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3238,,phm-2022-3238,,,,,False,True,0,full_text,False,phm,pypdf,Enabling in-time prognostics with surrogate modeling through physics-enhanced Dynamic Mode Decomposition method,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3199,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3199,,phm-2022-3199,,,,,False,True,0,full_text,False,phm,pypdf,A Framework for Evaluating Analytic Hyperparameters,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3275,A2,"t deterministic values but a density function. The number of samples that we draw from this output is chosen by the user, and in our case they can be found in 1https://github.com/krasserm/bayesian-machine-learning - Variational Inference in",A5,False,,,,True,"The data used are taken from the NASA Ames Prognostics Data Repository (CFRP Composites Dataset) and correspond to the laminates TD19, TD21 and TD22.",public_repository_reference,10.36001/phmconf.2022.v14i1.3275,"t deterministic values but a density function. The number of samples that we draw from this output is chosen by the user, and in our case they can be found in 1https://github.com/krasserm/bayesian-machine-learning - Variational Inference in",phm-2022-3275,,,,,False,True,3,full_text,False,phm,pypdf,Probabilistic Safety Assessment in Composite Materials using BNN by ABC-SS,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3168,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3168,,phm-2022-3168,,,,,False,True,0,full_text,False,phm,pypdf,Voltage-Based Physical Layer Fault Diagnosis for Controller Area Network,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3235,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3235,,phm-2022-3235,,,,,False,True,0,full_text,False,phm,pypdf,Physics Informed Deep Learning for Tracker Fault Detection in Photovoltaic Power Plants,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3196,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3196,,phm-2022-3196,,,,,False,True,0,full_text,False,phm,pypdf,Evaluating Vector Representations of Short Text Data for Automating Recommendations of Maintenance Cases,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3272,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3272,,phm-2022-3272,,,,,False,True,0,full_text,False,phm,pypdf,Unsupervised Anomaly Detection Using Batteries in Electric Aerial Vehicle Propulsion Test-Bed,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3161,A5,,A5,False,,,,False,,,10.36001/phmconf.2022.v14i1.3161,,phm-2022-3161,,,,,False,True,0,full_text,False,phm,pypdf,Improving the Performance of Bearing Fault Detection on a Turbo Shaft Engine,Technical Research Papers,2022
Final labels were computed from extracted full paper text.,True,full_text,https://papers.phmsociety.org/index.php/phmconf/article/view/3230,A5,,A5,True,,CALCE,"EXPERIMENTAL RESULT In order to evaluate the performance associated with the proposed SOH prediction, we used the, publicly available, CALCE dataset provided by Maryland University as well as the dataset we collected based on a battery testing equipment using actual batteries.",True,"EXPERIMENTAL RESULT In order to evaluate the performance associated with the proposed SOH prediction, we used the, publicly available, CALCE dataset provided by Maryland University as well as the dataset we collected based on a battery testing equipment using actual batteries.",named_benchmark,10.36001/phmconf.2022.v14i1.3230,,phm-2022-3230,,,,,False,True,0,full_text,False,phm,pypdf,Online Battery SOH Prediction under Intra-Cycle Variation of Discharge Current and Non-Standard Charging and Discharging Practices,Technical Research Papers,2022
